Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,MF,Description_1,Price,SnapEDA_Link,MP,Availability,Check_prices,MFR_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,STANDARD,PARTREV,MANUFACTURER,SNAPEDA_PN,OC_FARNELL,SUPPLIER,OC_NEWARK
"C1, C2, C3, C4",4,100uF,C_0805_2012Metric,,,,smt,"SMD 0805 MLCC capacitor, Alternate KiCad Library",,,,,,,,,,,,,,,,,
C5,1,10uF,C_1206_3216Metric,,,,smt,"SMD 1206 MLCC capacitor, Alternate KiCad Library",,,,,,,,,,,,,,,,,
"D1, D2",2,SMAJ5.0A,D_SMA,,,,smt,"SMA Unidirectional TVS diode, 5V, 400W, Alternate KiCAD Library",,,,,,,,,,,,,,,,,
F1,1,0ZCJ0050FF2G,RESC3216X125N,1206 Bel Fuse,,,smt,,Bel Fuse,1206 SMT PPTC | 0.50 Ih | 8V,None,https://www.snapeda.com/parts/0ZCJ0050FF2G/Bel+Circuit+Protection/view-part/?ref=snap,0ZCJ0050FF2G,In Stock,https://www.snapeda.com/parts/0ZCJ0050FF2G/Bel+Circuit+Protection/view-part/?ref=eda,,,,,,,,,,
J1,1,480370001,USB_A_Molex_48037-2200_Horizontal,None,,,smt,,Molex,"USB-A (USB TYPE-A) USB 2.0 Plug Connector 4 Position Through Hole, Right Angle",None,https://www.snapeda.com/parts/480370001/Molex/view-part/?ref=snap,480370001,In Stock,https://www.snapeda.com/parts/480370001/Molex/view-part/?ref=eda,Molex Connector Corporation,480370001,,,,,,,,
J2,1,USB1125-GF-B_REVA,GCT_USB1125-GF-B_REVA,None,,,tht,,Global Connector Technology,"USB 2.0 Receptacle, Type A, Through Hole, Horizontal, Top Mount, Without Flange, 6.48mm profile, 4 Pins, Through hole, compact receptacle, 5000 mating cycle, full size",None,https://www.snapeda.com/parts/USB1125-GF-B/Global+Connector+Technology/view-part/?ref=snap,USB1125-GF-B,In Stock,https://www.snapeda.com/parts/USB1125-GF-B/Global+Connector+Technology/view-part/?ref=eda,,,6.63mm,Manufacturer Recommendations,A,GCT,,,,
"R1, R2, R3, R4",4,24Ω,R_0805_2012Metric,,,,smt,"SMD 0805 Chip Resistor, European Symbol, Alternate KiCad Library",,,,,,,,,,,,,,,,,
SW1,1,JS202011SCQN,SW_JS202011SCQN,None,,,smt,,C&K,Slide Switch DPDT Surface Mount,None,https://www.snapeda.com/parts/JS202011SCQN/C%2526K/view-part/?ref=snap,JS202011SCQN,In Stock,https://www.snapeda.com/parts/JS202011SCQN/C%2526K/view-part/?ref=eda,,,5.5 mm,Manufacturer Recommendations,26 May 22,C&K,JS202011SCQN,,,
U1,1,ADUM4160BRWZ,SOIC127P1032X265-16N,SOIC-16,ADUM4160BRWZ,,smt,,Analog Devices,Full/Low Speed USB Digital Isolator,None,https://www.snapeda.com/parts/ADUM4160BRWZ/Analog+Devices/view-part/?ref=snap,ADUM4160BRWZ,In Stock,https://www.snapeda.com/parts/ADUM4160BRWZ/Analog+Devices/view-part/?ref=eda,,,,,,,,1858056,Analog Devices,24R8652
U2,1,RFM-0505S,CONV_RFM-0505S,SIP-4 Recom Power,,,tht,,Recom Power,"DC-DC Converter, SIP4, 1kV unreg, Single Output, 1W, 5V Out, RFM Series | RECOM Power Inc. RFM-0505S",None,https://www.snapeda.com/parts/RFM-0505S/Recom+Power/view-part/?ref=snap,RFM-0505S,In Stock,https://www.snapeda.com/parts/RFM-0505S/Recom+Power/view-part/?ref=eda,,,10mm,Manufacturer Recommendations,0,Recom,,,,
